name,diet,period,lived_in,type,length,taxonomy,named_by,species,link
struthiomimus,omnivorous,Late Cretaceous 76-74 million years ago,Canada,small theropod,4.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Ornithomimosauria Ornithomimidae,Osborn (1917),altus,https://www.nhm.ac.uk/discover/dino-directory/struthiomimus.html
struthiosaurus,herbivorous,Late Cretaceous 83-75 million years ago,Spain,armoured dinosaur,2.5m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Nodosauridae,Bunzel (1871),austriacus,https://www.nhm.ac.uk/discover/dino-directory/struthiosaurus.html
styracosaurus,herbivorous,Late Cretaceous 76-70 million years ago,USA,ceratopsian,5.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Lambe (1913),albertensis,https://www.nhm.ac.uk/discover/dino-directory/styracosaurus.html
suchomimus,carnivorous,Early Cretaceous 121-112 million years ago,Niger,large theropod,11.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,Sereno Beck Dutheil Gado Larsson Lyon Marcot Rauhut Sadleir Sidor Varricchio Wilson and Wilson (1998),tenerensis,https://www.nhm.ac.uk/discover/dino-directory/suchomimus.html
supersaurus,herbivorous,Early Cretaceous 154-142 million years ago,USA,sauropod,35.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Diplodocoidea Diplodocidae,Jansen (1985),vivianae,https://www.nhm.ac.uk/discover/dino-directory/supersaurus.html
talarurus,herbivorous,Late Cretaceous 99-89 million years ago,Mongolia,armoured dinosaur,6.0m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Maleev (1952),plicatospineus,https://www.nhm.ac.uk/discover/dino-directory/talarurus.html
tanius,herbivorous,Late Cretaceous 89-65 million years ago,China,euornithopod,,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Wiman (1929),sinensis,https://www.nhm.ac.uk/discover/dino-directory/tanius.html
tarbosaurus,carnivorous,Late Cretaceous 74-70 million years ago,Mongolia,large theropod,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Maleev (1955),bataar,https://www.nhm.ac.uk/discover/dino-directory/tarbosaurus.html
tarchia,herbivorous,Late Cretaceous 75-68 million years ago,Mongolia,armoured dinosaur,8.5m,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosaurinae,Maleev (1956),gigantea,https://www.nhm.ac.uk/discover/dino-directory/tarchia.html
telmatosaurus,herbivorous,Late Cretaceous 84-65 million years ago,Spain,euornithopod,5.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae,Nopcsa (1900),transsylvanicus,https://www.nhm.ac.uk/discover/dino-directory/telmatosaurus.html
tenontosaurus,herbivorous,Early Cretaceous 120-110 million years ago,USA,euornithopod,7.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia,Ostrom (1970),tillettorum,https://www.nhm.ac.uk/discover/dino-directory/tenontosaurus.html
thecodontosaurus,omnivorous,Late Triassic 227-205 million years ago,United Kingdom,sauropod,2.5m,Dinosauria Saurischia Sauropodomorpha Prosauropoda,Morris (1843),antiquus,https://www.nhm.ac.uk/discover/dino-directory/thecodontosaurus.html
therizinosaurus,unknown,Late Cretaceous 85-70 million years ago,Mongolia,large theropod,,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Therizinosauroidea Therizinosauridae,Maleev (1915),cheloniformis,https://www.nhm.ac.uk/discover/dino-directory/therizinosaurus.html
thescelosaurus,herbivorous,Late Cretaceous 76-67 million years ago,USA,euornithopod,3.5m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Gilmore (1913),neglectus,https://www.nhm.ac.uk/discover/dino-directory/thescelosaurus.html
torosaurus,herbivorous,Late Cretaceous 70-65 million years ago,USA,ceratopsian,7.5m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Marsh (1891),latus,https://www.nhm.ac.uk/discover/dino-directory/torosaurus.html
torvosaurus,carnivorous,Late Jurassic 155-144 million years ago,USA,large theropod,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Megalosaurinae,Galton and Jensen (1979),tanneri,https://www.nhm.ac.uk/discover/dino-directory/torvosaurus.html
triceratops,herbivorous,Late Cretaceous 68-66 million years ago,USA,ceratopsian,9.0m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Chasmosaurinae,Marsh (1889),horridus,https://www.nhm.ac.uk/discover/dino-directory/triceratops.html
troodon,carnivorous,Late Cretaceous 74-65 million years ago,USA,small theropod,2.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptoria Troodontidae,Leidy (1856),formosus,https://www.nhm.ac.uk/discover/dino-directory/troodon.html
tsagantegia,herbivorous,Late Cretaceous 99-84 million years ago,Mongolia,armoured dinosaur,,Dinosauria Ornithischia Genasauria Thyreophora Ankylosauromorpha Ankylosauria Ankylosauridae,Tumanova (1993),longicranialis,https://www.nhm.ac.uk/discover/dino-directory/tsagantegia.html
tsintaosaurus,herbivorous,Late Cretaceous 84-71 million years ago,China,euornithopod,12.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Young (1958),spinorhinus,https://www.nhm.ac.uk/discover/dino-directory/tsintaosaurus.html
tuojiangosaurus,herbivorous,Late Jurassic 157-154 million years ago,China,armoured dinosaur,7.0m,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Dong Li Zhou and Zhang (1973),multispinus,https://www.nhm.ac.uk/discover/dino-directory/tuojiangosaurus.html
tylocephale,herbivorous,Late Cretaceous 75-72 million years ago,Mongolia,euornithopod,1.4m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Pachycephalosauria Goyocephala Homalocephaloidea Pachycephalosauridae,Maryańska and Osmólska (1974),gilmorei,https://www.nhm.ac.uk/discover/dino-directory/tylocephale.html
tyrannosaurus,carnivorous,Late Cretaceous 68-66 million years ago,USA,large theropod,12.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Tyrannosaurinae,Osborn (1905),rex,https://www.nhm.ac.uk/discover/dino-directory/tyrannosaurus.html
udanoceratops,herbivorous,Late Cretaceous 81-75 million years ago,Mongolia,ceratopsian,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia,Kurzanov (1992),tschizhovi,https://www.nhm.ac.uk/discover/dino-directory/udanoceratops.html
unenlagia,carnivorous,Late Cretaceous 94-86 million years ago,Argentina,small theropod,2.4m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Novas and Puerta (1997),comahuensis,https://www.nhm.ac.uk/discover/dino-directory/unenlagia.html
urbacodon,carnivorous,Late Cretaceous 95 million years ago,Uzbekistan,small theropod,1.0m,Dinosauria Saurischia,Averianov and Sues (2007),itemirensis,https://www.nhm.ac.uk/discover/dino-directory/urbacodon.html
utahraptor,carnivorous,Early Cretaceous 112-100 million years ago,USA,large theropod,6.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Kirkland Gaston and Burge (1993),ostrommaysorum,https://www.nhm.ac.uk/discover/dino-directory/utahraptor.html
valdosaurus,herbivorous,Early Cretaceous 142-121 million years ago,United Kingdom,euornithopod,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Dryosauridae,Galton (1975),canaliculatus,https://www.nhm.ac.uk/discover/dino-directory/valdosaurus.html
velociraptor,carnivorous,Late Cretaceous 74-70 million years ago,Mongolia,small theropod,1.8m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Osborn (1924),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/velociraptor.html
vulcanodon,herbivorous,Early Jurassic 205-202 million years ago,Zimbabwe,sauropod,6.5m,Dinosauria Saurischia Sauropodomorpha Sauropoda Vulcanodontidae,Raath (1972),karibaensis,https://www.nhm.ac.uk/discover/dino-directory/vulcanodon.html
yandusaurus,herbivorous,Mid Jurassic 169-159 million years ago,China,euornithopod,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,He (1979),hongheensis,https://www.nhm.ac.uk/discover/dino-directory/yandusaurus.html
yangchuanosaurus,carnivorous,Late Jurassic 160-144 million years ago,China,large theropod,10.0m,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Sinraptoridae,Dong Chang Li and Zhou (1978),shangyouensis,https://www.nhm.ac.uk/discover/dino-directory/yangchuanosaurus.html
yimenosaurus,herbivorous,Early Jurassic 195-190 million years ago,China,sauropod,9.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda,Bai Yang and Wang (1990),youngi,https://www.nhm.ac.uk/discover/dino-directory/yimenosaurus.html
yingshanosaurus,herbivorous,Late Jurassic 159-142 million years ago,China,armoured dinosaur,,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria,Watanabe (1992),jichuanensis,https://www.nhm.ac.uk/discover/dino-directory/yingshanosaurus.html
yinlong,herbivorous,Mid Jurassic 159-154 million years ago,China,ceratopsian,1.2m,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia,Xu Forster Clark and Mo (2006),downsi,https://www.nhm.ac.uk/discover/dino-directory/yinlong.html
yuanmousaurus,herbivorous,Mid Jurassic 180-159 million years ago,China,sauropod,17.0m,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Lü Li Ji Wang Zhang and Dong (2006),jiangyiensis,https://www.nhm.ac.uk/discover/dino-directory/yuanmousaurus.html
yunnanosaurus,omnivorous,Early Jurassic 205-190 million years ago,China,sauropod,7.0m,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,Young (1942),huangi,https://www.nhm.ac.uk/discover/dino-directory/yunnanosaurus.html
zalmoxes,herbivorous,Late Cretaceous 69 million years ago,Romania,euornithopod,3.0m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,Nopcsa (1902),robustus,https://www.nhm.ac.uk/discover/dino-directory/zalmoxes.html
zephyrosaurus,herbivorous,Early Cretaceous 120-110 million years ago,USA,euornithopod,1.8m,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Sues (1980),schaffi,https://www.nhm.ac.uk/discover/dino-directory/zephyrosaurus.html
zuniceratops,herbivorous,Late Cretaceous 94-89 million years ago,USA,ceratopsian,,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Wolfe and Kirkland (1998),christopheri,https://www.nhm.ac.uk/discover/dino-directory/zuniceratops.html
